type	sentence	t_verb	f_verb	verb_index
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the guard lives	lives	live	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the guard runs	runs	run	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the guard speaks	speaks	speak	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the guard thinks	thinks	think	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the guard walks	walks	walk	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the guard is tall	is	are	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the guard is old	is	are	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the guard is young	is	are	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the guard is short	is	are	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the guard is happy	is	are	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the guard is sad	is	are	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the guard is angry	is	are	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the architect lives	lives	live	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the architect runs	runs	run	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the architect speaks	speaks	speak	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the architect thinks	thinks	think	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the architect walks	walks	walk	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the architect is tall	is	are	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the architect is old	is	are	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the architect is young	is	are	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the architect is short	is	are	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the architect is happy	is	are	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the architect is sad	is	are	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the architect is angry	is	are	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the dancer lives	lives	live	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the dancer runs	runs	run	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the dancer speaks	speaks	speak	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the dancer thinks	thinks	think	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the dancer walks	walks	walk	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the dancer is tall	is	are	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the dancer is old	is	are	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the dancer is young	is	are	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the dancer is short	is	are	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the dancer is happy	is	are	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the dancer is sad	is	are	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the dancer is angry	is	are	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the artist lives	lives	live	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the artist runs	runs	run	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the artist speaks	speaks	speak	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the artist thinks	thinks	think	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the artist walks	walks	walk	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the artist is tall	is	are	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the artist is old	is	are	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the artist is young	is	are	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the artist is short	is	are	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the artist is happy	is	are	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the artist is sad	is	are	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the artist is angry	is	are	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the minister lives	lives	live	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the minister runs	runs	run	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the minister speaks	speaks	speak	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the minister thinks	thinks	think	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the minister walks	walks	walk	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the minister is tall	is	are	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the minister is old	is	are	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the minister is young	is	are	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the minister is short	is	are	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the minister is happy	is	are	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the minister is sad	is	are	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the minister is angry	is	are	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the taxi driver lives	lives	live	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the taxi driver runs	runs	run	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the taxi driver speaks	speaks	speak	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the taxi driver thinks	thinks	think	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the taxi driver walks	walks	walk	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the taxi driver is tall	is	are	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the taxi driver is old	is	are	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the taxi driver is young	is	are	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the taxi driver is short	is	are	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the taxi driver is happy	is	are	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the taxi driver is sad	is	are	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the taxi driver is angry	is	are	8
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the executive lives	lives	live	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the executive runs	runs	run	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the executive speaks	speaks	speak	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the executive thinks	thinks	think	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the executive walks	walks	walk	7
prep_anim.pickle_sing_MS_MV_sing_MS	the author next to the executive is tall	is	are	7
